foundry.mjs:179488 _______________________________________________________________
 _____ ___  _   _ _   _ ____  ______   __ __     _______ _____
|  ___/ _ \| | | | \ | |  _ \|  _ \ \ / / \ \   / |_   _|_   _|
| |_ | | | | | | |  \| | | | | |_) \ V /   \ \ / /  | |   | |
|  _|| |_| | |_| | |\  | |_| |  _ < | |     \ V /   | |   | |
|_|   \___/ \___/|_| \_|____/|_| \_\|_|      \_/    |_|   |_|
===============================================================
foundry.mjs:179489 Foundry VTT | Foundry Virtual Tabletop ESModule loaded
foundry.mjs:87009 Foundry VTT | Loading 52 Assets
foundry.mjs:87950 Foundry VTT | Drawing the HiddenCanvasGroup canvas group
foundry.mjs:87950 Foundry VTT | Drawing the RenderedCanvasGroup canvas group
foundry.mjs:87950 Foundry VTT | Drawing the EnvironmentCanvasGroup canvas group
foundry.mjs:87950 Foundry VTT | Drawing the PrimaryCanvasGroup canvas group
foundry.mjs:92840 Foundry VTT | Drawing the WeatherEffects canvas layer
foundry.mjs:87950 Foundry VTT | Drawing the EffectsCanvasGroup canvas group
foundry.mjs:92840 Foundry VTT | Drawing the CanvasBackgroundAlterationEffects canvas layer
foundry.mjs:92840 Foundry VTT | Drawing the CanvasIlluminationEffects canvas layer
foundry.mjs:92840 Foundry VTT | Drawing the CanvasColorationEffects canvas layer
foundry.mjs:92840 Foundry VTT | Drawing the CanvasDarknessEffects canvas layer
foundry.mjs:87950 Foundry VTT | Drawing the CanvasVisibility canvas group
foundry.mjs:87950 Foundry VTT | Drawing the InterfaceCanvasGroup canvas group
foundry.mjs:92840 Foundry VTT | Drawing the GridLayer canvas layer
foundry.mjs:92840 Foundry VTT | Drawing the RegionLayer canvas layer
foundry.mjs:92840 Foundry VTT | Drawing the DrawingsLayer canvas layer
foundry.mjs:92840 Foundry VTT | Drawing the TemplateLayer canvas layer
foundry.mjs:92840 Foundry VTT | Drawing the TilesLayer canvas layer
foundry.mjs:92840 Foundry VTT | Drawing the WallsLayer canvas layer
foundry.mjs:92840 Foundry VTT | Drawing the TokenLayer canvas layer
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template templates/hud/waypoint-label.hbs
foundry.mjs:92840 Foundry VTT | Drawing the SoundsLayer canvas layer
foundry.mjs:92840 Foundry VTT | Drawing the LightingLayer canvas layer
foundry.mjs:92840 Foundry VTT | Drawing the NotesLayer canvas layer
foundry.mjs:92840 Foundry VTT | Drawing the ControlsLayer canvas layer
foundry.mjs:87950 Foundry VTT | Drawing the OverlayCanvasGroup canvas group
foundry.mjs:167467 Applying buffered socket event: userActivity
system.js:30 Neuroshima 1.5 | Tryb debugowania jest WŁĄCZONY
system.js:314 Neuroshima 1.5 | System gotowy
worker.js:72 Worker TextureCompressor of FogExtractor | Initialized Worker
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template templates/generic/tab-navigation.hbs
system.js:30 Neuroshima 1.5 | _onDrop triggered
system.js:30 Neuroshima 1.5 | _onDropItem triggered {item: NeuroshimaItem}
system.js:30 Neuroshima 1.5 | Inicjalizacja ładowania amunicji {ammo: NeuroshimaItem, magazine: NeuroshimaItem}
system.js:30 Neuroshima 1.5 | Przygotowanie danych amunicji do dodania {ammoId: 'O8hfmM8uMwTr8iUL', name: '5.45x39 (AP)', img: 'systems/neuroshima/assets/img/ammo.svg', quantity: 3, overrides: {…}}
system.js:30 Neuroshima 1.5 | Aktualizacja zawartości magazynka {contents: Array(1)}
system.js:30 Neuroshima 1.5 | Aktualizacja ilości amunicji w ekwipunku {remaining: 19}
foundry.mjs:117311 Załadowano 3x 5.45x39 (AP) do M16 Magazine. 
system.js:30 Neuroshima 1.5 | _onDrop triggered
system.js:30 Neuroshima 1.5 | _onDropItem triggered {item: NeuroshimaItem}
system.js:30 Neuroshima 1.5 | Inicjalizacja ładowania amunicji {ammo: NeuroshimaItem, magazine: NeuroshimaItem}
system.js:30 Neuroshima 1.5 | Przygotowanie danych amunicji do dodania {ammoId: 'ZIsXY30xd0JrSZeZ', name: '5.45x39', img: 'systems/neuroshima/assets/img/ammo.svg', quantity: 3, overrides: {…}}
system.js:30 Neuroshima 1.5 | Aktualizacja zawartości magazynka {contents: Array(2)}
system.js:30 Neuroshima 1.5 | Aktualizacja ilości amunicji w ekwipunku {remaining: 97}
foundry.mjs:117311 Załadowano 3x 5.45x39 do M16 Magazine. 
system.js:35 Neuroshima 1.5 | _onRollWeapon: M16
system.js:30 Neuroshima 1.5 | Inicjalizacja rzutu bronią
system.js:30 Neuroshima 1.5 | Źródłowy token aktora: Actor
system.js:30 Neuroshima 1.5 | Brak aktywnych targetów, przechodzę do trybu wyboru na mapie
system.js:30 Neuroshima 1.5 | _waitForTarget: Rozpoczynam przechwytywanie kliknięcia (window capture)
foundry.mjs:117311 Wybierz cel na mapie (LPM), aby zmierzyć dystans. PPM, aby anulować. 
system.js:30 Neuroshima 1.5 | _waitForTarget: Pozycja kliknięcia (world): {x: 3578, y: 1177}
system.js:30 Neuroshima 1.5 | _waitForTarget: Wybrano token: Actor (2). Ustawiam jako target.
dice.js:1046 Neuroshima 1.5 | measureDistance Debug (V13)
dice.js:1047 Pozycja 1: q {x: 3050, y: 950}
dice.js:1048 Pozycja 2: q {x: 3589, y: 1175}
dice.js:1049 Wynik measurePath: {waypoints: Array(2), segments: Array(1), distance: 11.681540994235306, cost: 11.681540994235306, spaces: 0, …}
dice.js:1050 Skala sceny (grid): 100 px = 2 m
system.js:30 Neuroshima 1.5 | _waitForTarget: Obliczony dystans do tokena: 11.7m
system.js:30 Neuroshima 1.5 | Otrzymano dane z mapy: {distance: 11.7, token: Token}
system.js:30 Neuroshima 1.5 | Otwieranie dialogu rzutu z dystansem: 11.7
system.js:35 Neuroshima 1.5 | NeuroshimaWeaponRollDialog.constructor
system.js:30 Neuroshima 1.5 | Actor: Actor DuiydkP32qkMV6NS
system.js:30 Neuroshima 1.5 | Weapon: M16 fxk4rTFzL8VeDYZI
system.js:30 Neuroshima 1.5 | Raw lastRoll from options: {percentageModifier: 0, difficulty: 'easy', useArmorPenalty: true, useWoundPenalty: false, isOpen: false, …}
system.js:35 Neuroshima 1.5 | NeuroshimaWeaponRollDialog._prepareContext
system.js:30 Neuroshima 1.5 | Current rollOptions: {isOpen: false, difficulty: 'easy', hitLocation: 'random', aimingLevel: 0, burstLevel: 0, …}
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template systems/neuroshima/templates/dialog/ranged-roll-dialog.hbs
system.js:35 Neuroshima 1.5 | NeuroshimaWeaponRollDialog._onRoll
system.js:30 Neuroshima 1.5 | FormData object: {isOpen: 'false', baseDifficulty: 'easy', hitLocation: 'random', modifier: 0, useArmorPenalty: true, …}
system.js:35 Neuroshima 1.5 | Inicjalizacja rzutu bronią
system.js:30 Neuroshima 1.5 | Parametry wejściowe rzutu: {weapon: NeuroshimaItem, actor: NeuroshimaActor, isOpen: false, aimingLevel: 0, burstLevel: 2, …}
system.js:30 Neuroshima 1.5 | Kalkulacja kar (%) {basePenalty: -20, modifier: 0, armorPenalty: 0, woundPenalty: 0, locationPenalty: 0, …}
system.js:30 Neuroshima 1.5 | Wyniki rzutu kośćmi {weaponType: 'ranged', diceCount: 1, results: Array(1), bestResult: 4, finalIsOpen: false}
system.js:30 Neuroshima 1.5 | Wylosowano lokację trafienia {rzut: 1, lokacja: 'head'}
system.js:30 Neuroshima 1.5 | Planowanie serii strzałów {bulletsFired: 6, typSerii: 'Długa seria'}
system.js:30 Neuroshima 1.5 | Planowanie pobrania pocisków z magazynka (LIFO)
system.js:30 Neuroshima 1.5 | Parametry amunicji w serii {damage: 'L', piercing: 0, jamming: 20}
system.js:30 Neuroshima 1.5 | Amunicja zużyta (brak zacięcia)
system.js:30 Neuroshima 1.5 | Kalkulacja trudności i Suwaka {bazowaTrudnosc: 'NEUROSHIMA.Difficulty.Easy', przesuniecieSuwaka: 0, ostatecznaTrudnosc: 'NEUROSHIMA.Difficulty.Easy', progSukcesu: 20, skillValue: 8, …}
system.js:30 Neuroshima 1.5 | Rozpoczynam ewaluację Broni Dystansowej (Najlepsza kość)
system.js:30 Neuroshima 1.5 | Standardowy pocisk 1 {bullet: {…}, bulletDamage: 'L', bulletPiercing: 0, fallbackDamage: 'L', fallbackPiercing: 0}
system.js:30 Neuroshima 1.5 | Standardowy pocisk 2 {bullet: {…}, bulletDamage: 'L', bulletPiercing: 0, fallbackDamage: 'L', fallbackPiercing: 0}
system.js:30 Neuroshima 1.5 | Standardowy pocisk 3 {bullet: {…}, bulletDamage: 'L', bulletPiercing: 0, fallbackDamage: 'L', fallbackPiercing: 0}
system.js:30 Neuroshima 1.5 | Standardowy pocisk 4 {bullet: {…}, bulletDamage: 'C', bulletPiercing: 2, fallbackDamage: 'L', fallbackPiercing: 0}
system.js:30 Neuroshima 1.5 | Standardowy pocisk 5 {bullet: {…}, bulletDamage: 'C', bulletPiercing: 2, fallbackDamage: 'L', fallbackPiercing: 0}
system.js:30 Neuroshima 1.5 | Standardowy pocisk 6 {bullet: {…}, bulletDamage: 'C', bulletPiercing: 2, fallbackDamage: 'L', fallbackPiercing: 0}
system.js:30 Neuroshima 1.5 | Wynik końcowy testu {isSuccess: true, successPoints: 1, isJamming: false, hitBullets: 6, jammingOnDie: 4}
system.js:30 Neuroshima 1.5 | Generowanie karty czatu {label: 'M16', actionLabel: 'Długa seria', isWeapon: true, isMelee: false, weaponId: 'fxk4rTFzL8VeDYZI', …}
system.js:35 Neuroshima 1.5 | NeuroshimaChatMessage | renderWeaponRoll
system.js:30 Neuroshima 1.5 | Renderowanie karty testu broni {label: 'M16', actor: 'Actor', weaponType: 'ranged', damage: '3xL, 3xC', bulletsFired: 6, …}
system.js:30 Neuroshima 1.5 | Sprawdzenie uprawnień tooltip {userRole: 4, minRole: 4, isOwner: true, isGM: true, ownerVisibility: true, …}
system.js:30 Neuroshima 1.5 | Tooltip obrażeń {damage: '3xL, 3xC', types: Array(2), tooltip: 'Lekka Rana / Ciężka Rana'}
system.js:30 Neuroshima 1.5 | Renderowanie szablonu {template: 'systems/neuroshima/templates/chat/weapon-roll-card.hbs'}
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template systems/neuroshima/templates/chat/weapon-roll-card.hbs
system.js:30 Neuroshima 1.5 | Szablon renderowany pomyślnie {templateLength: 5508}
system.js:30 Neuroshima 1.5 | Karta czatu broni utworzona {messageType: 'weapon'}
system.js:35 Neuroshima 1.5 | Interfejs Obrażeń | Kliknięcie przycisku
system.js:30 Neuroshima 1.5 | Pobieranie aktorów z namierzonych celów: ['Actor (2)']
system.js:30 Neuroshima 1.5 | Wywoływanie CombatHelper.applyDamage...
system.js:35 Neuroshima 1.5 | CombatHelper | applyDamage
system.js:30 Neuroshima 1.5 | Parametry wejściowe: {messageId: 'BeEsQ16tpfNUXSjW', flags: {…}, actors: Array(1)}
system.js:30 Neuroshima 1.5 | Logika obrażeń: {isMelee: false, location: 'head', hitBulletsDataCount: 6, hitBulletsData: Array(6)}
system.js:30 Neuroshima 1.5 | Przetwarzanie aktora: Actor (2)
system.js:30 Neuroshima 1.5 | Przetwarzanie pocisku: L z przebiciem 0 {bulletIndex: 0, bulletData: {…}}
system.js:35 Neuroshima 1.5 | CombatHelper | reduceArmorDamage
system.js:30 Neuroshima 1.5 | Kalkulacja efektywnego AP pancerza {actor: 'Actor (2)', location: 'head', damageType: 'L', piercing: 0}
system.js:30 Neuroshima 1.5 | Pancerz: ARMOR TEST {location: 'head', ratings: 2, damage: 0, effective: 2}
system.js:30 Neuroshima 1.5 | Redukcja obrażeń przez pancerz {actor: 'Actor (2)', location: 'head', damageType: 'L', piercing: 0, totalArmorRating: 2}
system.js:30 Neuroshima 1.5 | Kalkulacja redukcji pancerza {rawReduction: 2, actualReduction: 2}
system.js:30 Neuroshima 1.5 | Redukcja punktów obrażeń (punkty redukcji) {baseDamagePoints: 2, actualReduction: 2, reducedDamagePoints: 0}
system.js:30 Neuroshima 1.5 | Obrażenia całkowicie zneutralizowane przez pancerz
system.js:30 Neuroshima 1.5 | Ostateczny typ obrażeń {originalType: 'L', reducedType: null}
system.js:30 Neuroshima 1.5 | Przetwarzanie pocisku: L z przebiciem 0 {bulletIndex: 1, bulletData: {…}}
system.js:35 Neuroshima 1.5 | CombatHelper | reduceArmorDamage
system.js:30 Neuroshima 1.5 | Kalkulacja efektywnego AP pancerza {actor: 'Actor (2)', location: 'head', damageType: 'L', piercing: 0}
system.js:30 Neuroshima 1.5 | Pancerz: ARMOR TEST {location: 'head', ratings: 2, damage: 0, effective: 2}
system.js:30 Neuroshima 1.5 | Redukcja obrażeń przez pancerz {actor: 'Actor (2)', location: 'head', damageType: 'L', piercing: 0, totalArmorRating: 2}
system.js:30 Neuroshima 1.5 | Kalkulacja redukcji pancerza {rawReduction: 2, actualReduction: 2}
system.js:30 Neuroshima 1.5 | Redukcja punktów obrażeń (punkty redukcji) {baseDamagePoints: 2, actualReduction: 2, reducedDamagePoints: 0}
system.js:30 Neuroshima 1.5 | Obrażenia całkowicie zneutralizowane przez pancerz
system.js:30 Neuroshima 1.5 | Ostateczny typ obrażeń {originalType: 'L', reducedType: null}
system.js:30 Neuroshima 1.5 | Przetwarzanie pocisku: L z przebiciem 0 {bulletIndex: 2, bulletData: {…}}
system.js:35 Neuroshima 1.5 | CombatHelper | reduceArmorDamage
system.js:30 Neuroshima 1.5 | Kalkulacja efektywnego AP pancerza {actor: 'Actor (2)', location: 'head', damageType: 'L', piercing: 0}
system.js:30 Neuroshima 1.5 | Pancerz: ARMOR TEST {location: 'head', ratings: 2, damage: 0, effective: 2}
system.js:30 Neuroshima 1.5 | Redukcja obrażeń przez pancerz {actor: 'Actor (2)', location: 'head', damageType: 'L', piercing: 0, totalArmorRating: 2}
system.js:30 Neuroshima 1.5 | Kalkulacja redukcji pancerza {rawReduction: 2, actualReduction: 2}
system.js:30 Neuroshima 1.5 | Redukcja punktów obrażeń (punkty redukcji) {baseDamagePoints: 2, actualReduction: 2, reducedDamagePoints: 0}
system.js:30 Neuroshima 1.5 | Obrażenia całkowicie zneutralizowane przez pancerz
system.js:30 Neuroshima 1.5 | Ostateczny typ obrażeń {originalType: 'L', reducedType: null}
system.js:30 Neuroshima 1.5 | Przetwarzanie pocisku: C z przebiciem 2 {bulletIndex: 3, bulletData: {…}}
system.js:35 Neuroshima 1.5 | CombatHelper | reduceArmorDamage
system.js:30 Neuroshima 1.5 | Kalkulacja efektywnego AP pancerza {actor: 'Actor (2)', location: 'head', damageType: 'C', piercing: 2}
system.js:30 Neuroshima 1.5 | Pancerz: ARMOR TEST {location: 'head', ratings: 2, damage: 0, effective: 2}
system.js:30 Neuroshima 1.5 | Redukcja obrażeń przez pancerz {actor: 'Actor (2)', location: 'head', damageType: 'C', piercing: 2, totalArmorRating: 2}
system.js:30 Neuroshima 1.5 | Kalkulacja redukcji pancerza {rawReduction: 0, actualReduction: 0}
system.js:30 Neuroshima 1.5 | Redukcja punktów obrażeń (punkty redukcji) {baseDamagePoints: 3, actualReduction: 0, reducedDamagePoints: 3}
system.js:30 Neuroshima 1.5 | Ostateczny typ obrażeń {originalType: 'C', reducedType: 'C'}
system.js:30 Neuroshima 1.5 | Przetwarzanie pocisku: C z przebiciem 2 {bulletIndex: 4, bulletData: {…}}
system.js:35 Neuroshima 1.5 | CombatHelper | reduceArmorDamage
system.js:30 Neuroshima 1.5 | Kalkulacja efektywnego AP pancerza {actor: 'Actor (2)', location: 'head', damageType: 'C', piercing: 2}
system.js:30 Neuroshima 1.5 | Pancerz: ARMOR TEST {location: 'head', ratings: 2, damage: 0, effective: 2}
system.js:30 Neuroshima 1.5 | Redukcja obrażeń przez pancerz {actor: 'Actor (2)', location: 'head', damageType: 'C', piercing: 2, totalArmorRating: 2}
system.js:30 Neuroshima 1.5 | Kalkulacja redukcji pancerza {rawReduction: 0, actualReduction: 0}
system.js:30 Neuroshima 1.5 | Redukcja punktów obrażeń (punkty redukcji) {baseDamagePoints: 3, actualReduction: 0, reducedDamagePoints: 3}
system.js:30 Neuroshima 1.5 | Ostateczny typ obrażeń {originalType: 'C', reducedType: 'C'}
system.js:30 Neuroshima 1.5 | Przetwarzanie pocisku: C z przebiciem 2 {bulletIndex: 5, bulletData: {…}}
system.js:35 Neuroshima 1.5 | CombatHelper | reduceArmorDamage
system.js:30 Neuroshima 1.5 | Kalkulacja efektywnego AP pancerza {actor: 'Actor (2)', location: 'head', damageType: 'C', piercing: 2}
system.js:30 Neuroshima 1.5 | Pancerz: ARMOR TEST {location: 'head', ratings: 2, damage: 0, effective: 2}
system.js:30 Neuroshima 1.5 | Redukcja obrażeń przez pancerz {actor: 'Actor (2)', location: 'head', damageType: 'C', piercing: 2, totalArmorRating: 2}
system.js:30 Neuroshima 1.5 | Kalkulacja redukcji pancerza {rawReduction: 0, actualReduction: 0}
system.js:30 Neuroshima 1.5 | Redukcja punktów obrażeń (punkty redukcji) {baseDamagePoints: 3, actualReduction: 0, reducedDamagePoints: 3}
system.js:30 Neuroshima 1.5 | Ostateczny typ obrażeń {originalType: 'C', reducedType: 'C'}
system.js:30 Neuroshima 1.5 | Statystyka redukcji dla Actor (2) {totalProjectiles: 6, reducedProjectiles: 3, appliedWounds: 3}
system.js:35 Neuroshima 1.5 | Przetwarzanie odporności na ból: Actor (2)
system.js:30 Neuroshima 1.5 | Tworzenie 3 ran dla Actor (2) (3) [{…}, {…}, {…}]
foundry.mjs:117311 Nałożono 3 ran na Actor (2). 
system.js:35 Neuroshima 1.5 | NeuroshimaChatMessage | renderPainResistance
system.js:30 Neuroshima 1.5 | Renderowanie raportu odporności na ból {actor: 'Actor (2)', totalTests: 3, woundCount: 3}
system.js:30 Neuroshima 1.5 | Podsumowanie testów {passed: 3, failed: 0, total: 3}
system.js:30 Neuroshima 1.5 | Renderowanie szablonu {template: 'systems/neuroshima/templates/chat/pain-resistance-report.hbs'}template: "systems/neuroshima/templates/chat/pain-resistance-report.hbs"[[Prototype]]: Object
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template systems/neuroshima/templates/chat/pain-resistance-report.hbs
system.js:30 Neuroshima 1.5 | Szablon renderowany pomyślnie {templateLength: 10887}
system.js:30 Neuroshima 1.5 | Raport odporności na ból utworzony {messageType: 'painResistance'}
